id,price,number_of_reviews,last_review,neighbourhood,name,availability_365,host_id,room_type,latitude,longitude,coords,pais
36690,91,409,2023-09-20,Belize Islands,Tiny home in Caye Caulker · ★4.82 · 1 bed · 1 bath,165,157752,Entire home/apt,17.74832,-88.02474,"17.74832,-88.02474",Belize
120115,603,56,2023-05-20,Belize Islands,Condo in Caye Caulker Village  · ★4.85 · 2 bedrooms · 2 beds · 2 baths,235,604999,Entire home/apt,17.74166,-88.02395,"17.74166,-88.02395",Belize
120116,139,70,2023-08-18,Belize Islands,Home in Caye Caulker Village  · ★4.57 · 1 bedroom · 1 bed · 1 bath,288,604999,Entire home/apt,17.73644,-88.02858,"17.73644,-88.02858",Belize
152512,171,71,2023-05-24,Stann Creek Mainland,Serviced apartment in Placencia · ★4.86 · 1 bedroom · 1 bed · 1 bath,99,733857,Entire home/apt,16.52693,-88.36864,"16.52693,-88.36864",Belize
152922,52,11,2019-12-14,Cayo,Home in Belmopan · ★4.55 · 1 bedroom · 1 bed · 1 private bath,364,735525,Private room,17.25428,-88.76771,"17.25428,-88.76771",Belize
171294,280,43,2023-04-19,Cayo,Place to stay in San Ignacio · ★4.43 · 1 bedroom · 1 bed · 1 shared bath,0,817242,Private room,17.16427,-89.06909,"17.16427,-89.06909",Belize
171301,176,106,2023-05-09,Cayo,Hut in San Ignacio · ★4.57 · 1 bedroom · 2 beds · 1 bath,0,817242,Entire home/apt,17.16435,-89.06896,"17.16435,-89.06896",Belize
179190,206,111,2022-02-22,Belize Islands,Hotel in Caye Caulker · ★4.95 · 1 bedroom · 2 beds · 1 private bath,217,857431,Private room,17.73696,-88.02607,"17.73696,-88.02607",Belize
182596,206,148,2023-03-20,Belize Islands,Hotel in Caye Caulker · ★4.91 · 1 bedroom · 2 beds · 1 bath,282,857431,Private room,17.73696,-88.02607,"17.73696,-88.02607",Belize
182610,300,136,2023-03-07,Belize Islands,Hotel in Caye Caulker · ★4.96 · 1 bedroom · 2 beds · 1 bath,290,857431,Private room,17.73696,-88.02607,"17.73696,-88.02607",Belize
183285,206,47,2020-02-29,Belize Islands,Hotel in Caye Caulker · ★4.87 · 1 bedroom · 2 beds · 1 private bath,171,857431,Private room,17.73696,-88.02607,"17.73696,-88.02607",Belize
183332,377,9,2022-02-01,Belize Islands,Hotel in Caye Caulker · ★4.67 · 1 bedroom · 2 beds · 1 private bath,222,857431,Private room,17.73696,-88.02607,"17.73696,-88.02607",Belize
215095,401,14,2022-07-02,Stann Creek Mainland,Home in Seine Bight · ★4.92 · 3 bedrooms · 7 beds · 2 baths,4,1110584,Entire home/apt,16.57648,-88.36633,"16.57648,-88.36633",Belize
238685,377,10,2022-08-02,Belize Islands,Hotel in Caye Caulker · ★5.0 · 1 bedroom · 2 beds · 1 private bath,220,857431,Private room,17.73696,-88.02607,"17.73696,-88.02607",Belize
245523,349,19,2023-02-10,Belize Islands,Hotel in Caye Caulker · ★4.95 · 1 bedroom · 2 beds · 1 private bath,264,857431,Private room,17.73696,-88.02607,"17.73696,-88.02607",Belize
254291,148,143,2023-09-12,Stann Creek Mainland,Home in Placencia · ★4.71 · 1 bedroom · 2 beds · 1 bath,277,1512929,Entire home/apt,16.53274035676609,-88.35956491917749,"16.53274035676609,-88.35956491917749",Belize
261882,139,185,2023-07-27,Stann Creek Mainland,Bungalow in Placencia · ★4.80 · 1 bedroom · 4 beds · 1 bath,336,1512929,Entire home/apt,16.531676726026667,-88.3604321000235,"16.531676726026667,-88.3604321000235",Belize
308361,210,9,2023-03-07,Cayo,Bed and breakfast in Belmopan · ★4.89 · 1 bedroom · 1 bed · 1 private bath,357,1586187,Private room,17.25719,-88.77812,"17.25719,-88.77812",Belize
332447,236,102,2023-03-19,Belize Islands,Hotel in Caye Caulker · ★4.86 · 1 bedroom · 1 bed · 1 private bath,261,857431,Private room,17.73696,-88.02607,"17.73696,-88.02607",Belize
419134,135,25,2023-05-13,Cayo,Cabin in Unitedville‎ · ★4.76 · 1 bedroom · 2 beds · 1 shared bath,87,2084006,Private room,17.208763122558594,-88.94560241699219,"17.208763122558594,-88.94560241699219",Belize
580189,112,179,2023-07-29,Belize Mainland,Treehouse in Burrell Boom · ★4.70 · 2 bedrooms · 2 beds · 1 bath,255,190152663,Entire home/apt,17.57331,-88.39648,"17.57331,-88.39648",Belize
591211,161,31,2023-03-02,Belize Mainland,Rental unit in Belize City · ★4.90 · 1 bedroom · 2 beds · 1 bath,364,2917510,Entire home/apt,17.51173,-88.22397,"17.51173,-88.22397",Belize
597282,101,225,2023-09-02,Belize Islands,Cottage in Caye Caulker · ★4.79 · Studio · 2 beds · 1 bath,149,157752,Entire home/apt,17.7361,-88.02777,"17.7361,-88.02777",Belize
601962,247,53,2023-03-04,Stann Creek Mainland,Serviced apartment in Placencia · ★4.83 · 2 bedrooms · 2 beds · 2 baths,134,733857,Entire home/apt,16.52566,-88.37085,"16.52566,-88.37085",Belize
736308,373,40,2023-06-11,Corozal,Home in Corozal · ★4.79 · 1 bedroom · 4 beds · 1 bath,328,3843219,Entire home/apt,18.32931,-88.32932,"18.32931,-88.32932",Belize
788130,403,100,2023-09-12,Belize Mainland,Home in Belize City · ★4.89 · 4 bedrooms · 5 beds · 2 baths,80,2917510,Entire home/apt,17.51103,-88.22488,"17.51103,-88.22488",Belize
819238,300,11,2022-04-07,Belize Islands,Hotel in Belize City · ★5.0 · 1 bedroom · 1 bed · 1 private bath,269,857431,Private room,17.73653,-88.02639,"17.73653,-88.02639",Belize
819686,262,11,2022-07-03,Belize Islands,Hotel in Caye Caulker · ★4.80 · 1 bedroom · 1 bed · 1 private bath,286,857431,Private room,17.73577,-88.02667,"17.73577,-88.02667",Belize
985520,151,250,2023-09-03,Belize Islands,Bungalow in Caye Caulker · ★4.75 · 2 bedrooms · 2 beds · 2 baths,289,2267459,Entire home/apt,17.7409,-88.02666,"17.7409,-88.02666",Belize
1035815,1199,0,,Stann Creek Mainland,Vacation home in Placencia · 2 bedrooms · 4 beds · 3 baths,330,5701805,Entire home/apt,16.51452,-88.36767,"16.51452,-88.36767",Belize
1051976,232,108,2023-09-15,Belize Mainland,Home in Belize City · ★4.88 · 3 bedrooms · 3 beds · 2.5 baths,346,5792357,Entire home/apt,17.4899,-88.18759,"17.4899,-88.18759",Belize
1111731,3678,0,,Belize Mainland,Boat in Belize City · 3 bedrooms · 3 beds · 3 baths,0,6101757,Entire home/apt,17.47097,-88.24955,"17.47097,-88.24955",Belize
1134575,81,197,2023-05-06,Belize Islands,Rental unit in Belize · ★4.51 · 1 bedroom · 1 bed · 1 bath,342,911311,Entire home/apt,17.73951,-88.03293,"17.73951,-88.03293",Belize
1134718,91,145,2023-08-03,Belize Islands,Rental unit in Belize · ★4.61 · 1 bedroom · 1 bed · 1 bath,209,911311,Entire home/apt,17.73951,-88.03293,"17.73951,-88.03293",Belize
1135021,91,176,2023-04-04,Belize Islands,Rental unit in Belize · ★4.46 · 1 bedroom · 1 bed · 1 bath,361,911311,Entire home/apt,17.73951,-88.03293,"17.73951,-88.03293",Belize
1135078,81,157,2023-04-24,Belize Islands,Rental unit in Belize · ★4.36 · 1 bedroom · 1 bed · 1 bath,361,911311,Entire home/apt,17.73951,-88.03293,"17.73951,-88.03293",Belize
1155995,211,19,2023-03-15,Belize Islands,Aparthotel in Caye Caulker · ★4.63 · 1 bedroom · 1 bed · 1 private bath,161,6334784,Hotel room,17.73727,-88.02978,"17.73727,-88.02978",Belize
1177282,433,40,2023-01-02,Corozal,Home in Copper Bank · ★4.84 · 2 bedrooms · 2 beds · 1 bath,281,89385464,Entire home/apt,18.32853,-88.32882,"18.32853,-88.32882",Belize
1187309,262,31,2023-05-24,Belize Mainland,Rental unit in Belize City · ★4.87 · 2 bedrooms · 2 beds · 2 baths,151,2917510,Entire home/apt,17.50913,-88.22399,"17.50913,-88.22399",Belize
1305154,157,224,2023-08-25,Belize Islands,Rental unit in Caye Caulker · ★4.96 · Studio · 2 beds · 1 bath,91,727841,Entire home/apt,17.73786,-88.02817,"17.73786,-88.02817",Belize
1307280,157,261,2023-08-28,Belize Islands,Rental unit in Caye Caulker · ★4.96 · Studio · 2 beds · 1 bath,83,727841,Entire home/apt,17.73791,-88.02814,"17.73791,-88.02814",Belize
1432085,266,99,2023-07-08,Belize Islands,Home in Caye Caulker · ★4.91 · 2 bedrooms · 2 beds · 1 bath,264,604999,Entire home/apt,17.73675,-88.0285,"17.73675,-88.0285",Belize
1443152,203,274,2023-08-06,Belize Islands,Guesthouse in San Pedro · ★4.82 · 1 bedroom · 2 beds · 1 bath,361,3726010,Entire home/apt,17.910810470581055,-87.97423553466797,"17.910810470581055,-87.97423553466797",Belize
1503151,246,26,2023-06-29,Belize Islands,Aparthotel in Caye Caulker · ★4.81 · 2 bedrooms · 2 beds · 1 private bath,137,6334784,Hotel room,17.73705,-88.02773,"17.73705,-88.02773",Belize
1557575,131,18,2022-11-27,Cayo,Rental unit in San Ignacio · ★4.83 · 2 bedrooms · 3 beds · 1 bath,269,2556131,Entire home/apt,17.15518,-89.07004,"17.15518,-89.07004",Belize
1572640,260,87,2023-08-10,Belize Islands,Cabin in Caye Caulker · ★4.84 · 9 bedrooms · 2 beds · 2 baths,99,604999,Entire home/apt,17.73698,-88.02831,"17.73698,-88.02831",Belize
1635819,320,47,2023-08-09,Belize Islands,Home in Caye Caulker · ★4.91 · 3 bedrooms · 4 beds · 2 baths,131,8690154,Entire home/apt,17.7373,-88.02811,"17.7373,-88.02811",Belize
1707764,403,21,2023-07-25,Belize Islands,Condo in San Pedro · ★4.95 · 3 bedrooms · 5 beds · 2 baths,256,1120393,Entire home/apt,17.88981,-87.97981,"17.88981,-87.97981",Belize
1773770,131,43,2023-09-10,Belize Mainland,Place to stay in Belize City · ★4.51 · 2 bedrooms · 1 bed · 1 bath,365,9315171,Private room,17.504566,-88.196213,"17.504566,-88.196213",Belize
1798242,141,253,2023-09-02,Belize Islands,Guesthouse in Caye Caulker · ★4.89 · 1 bedroom · 1 bed · 1 bath,289,9430792,Entire home/apt,17.7477,-88.02395,"17.7477,-88.02395",Belize
1802882,179,9,2023-08-18,Belize Mainland,Boutique hotel in Ladyville  · ★5.0 · 1 bedroom · 2 beds · 1 private bath,365,9451825,Hotel room,17.55869,-88.28442,"17.55869,-88.28442",Belize
1847763,403,25,2023-09-11,Belize Islands,Condo in San Pedro · ★4.96 · 3 bedrooms · 4 beds · 2 baths,246,1120393,Entire home/apt,17.88981,-87.97981,"17.88981,-87.97981",Belize
1877094,403,26,2023-01-09,Belize Islands,Condo in San Pedro · ★4.77 · 3 bedrooms · 5 beds · 2 baths,266,1120393,Entire home/apt,17.88981,-87.97981,"17.88981,-87.97981",Belize
1923992,64,108,2023-09-03,Belize Islands,Rental unit in Caye Caulker · ★4.32 · 1 bedroom · 2 beds · 1 bath,337,9968080,Entire home/apt,17.743173599243164,-88.0242691040039,"17.743173599243164,-88.0242691040039",Belize
1943235,60,2,2019-04-30,Stann Creek Mainland,Home in Placencia · 1 bedroom · 1 bed · 1 bath,0,10051420,Entire home/apt,16.50925,-88.37182,"16.50925,-88.37182",Belize
