id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36690,Tiny home in Caye Caulker · ★4.82 · 1 bed · 1 bath,157752,Monique,Belize,Belize Islands,17.74832,-88.02474,Entire home/apt,91,3,409,2023-09-20,2.56,4,165,39,
120115,Condo in Caye Caulker Village  · ★4.85 · 2 bedrooms · 2 beds · 2 baths,604999,Bobbi,Belize,Belize Islands,17.74166,-88.02395,Entire home/apt,603,1,56,2023-05-20,0.71,30,235,14,
120116,Home in Caye Caulker Village  · ★4.57 · 1 bedroom · 1 bed · 1 bath,604999,Bobbi,Belize,Belize Islands,17.73644,-88.02858,Entire home/apt,139,2,70,2023-08-18,0.76,30,288,13,
152512,Serviced apartment in Placencia · ★4.86 · 1 bedroom · 1 bed · 1 bath,733857,Jacqueline Ann,Stann Creek,Stann Creek Mainland,16.52693,-88.36864,Entire home/apt,171,7,71,2023-05-24,0.49,5,99,3,
152922,Home in Belmopan · ★4.55 · 1 bedroom · 1 bed · 1 private bath,735525,Jennifer,Cayo,Cayo,17.25428,-88.76771,Private room,52,1,11,2019-12-14,0.12,1,364,0,
171294,Place to stay in San Ignacio · ★4.43 · 1 bedroom · 1 bed · 1 shared bath,817242,Michael,Cayo,Cayo,17.16427,-89.06909,Private room,280,1,43,2023-04-19,0.37,11,0,1,
171301,Hut in San Ignacio · ★4.57 · 1 bedroom · 2 beds · 1 bath,817242,Michael,Cayo,Cayo,17.16435,-89.06896,Entire home/apt,176,1,106,2023-05-09,0.91,11,0,7,
179190,Hotel in Caye Caulker · ★4.95 · 1 bedroom · 2 beds · 1 private bath,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Private room,206,1,111,2022-02-22,0.76,14,217,0,
182596,Hotel in Caye Caulker · ★4.91 · 1 bedroom · 2 beds · 1 bath,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Private room,206,1,148,2023-03-20,1.04,14,282,1,
182610,Hotel in Caye Caulker · ★4.96 · 1 bedroom · 2 beds · 1 bath,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Private room,300,1,136,2023-03-07,0.97,14,290,1,
183285,Hotel in Caye Caulker · ★4.87 · 1 bedroom · 2 beds · 1 private bath,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Private room,206,1,47,2020-02-29,0.33,14,171,0,
